text,emotion
I am feeling happy today,happy
This is the best day of my life,happy
Today is  joyful ,happy
I am excited about my future,happy
This makes me smile,happy
I feel fresh mood,happy
Life is beautiful ,happy
I enjoyed this a lot,happy
I am proud of myself,happy
This news made me happy,happy
I feel cheerful,happy
Everything is going well,happy
I love spending time here,happy
I am satisfied with the results,happy
I feel positive,happy
I am laughing right now,happy
This moment feels amazing,happy
I am calm and happy,happy
I am delighted,happy
This experience is wonderful,happy
I feel lucky,happy
I am thankful,happy
This brings me joy,happy
I feel energetic,happy
I am pleased,happy
I am enjoying my work,happy
I feel confident,happy
Todat i am smiling,happy
This feels good,happy
I am very fresh mind,happy
I feel optimistic,happy
I am enjoying life,happy
This is pleasant,happy
I am happy with myself,happy
I am relaxed,happy
I feel peaceful,happy
I am cheerful today,happy
I am glad,happy
I feel bright,happy
I am satisfied,happy
This is enjoyable,happy
I feel joyful inside,happy
I am enthusiastic,happy
I feel cheerful again,happy
I am showing happiness,happy
I feel happiness,happy
I am very angry,angry
This is frustrating,angry
I annoyed,angry
I am upset about this,angry
This makes me furious,angry
I am irritated,angry
I am angry about the delay,angry
I feel rage,angry
This is unacceptable,angry
I lost my patience,angry
I am extremely mad,angry
This situation is unbearable,angry
I am not satisfied,angry
This makes me angry,angry
I aggressive,angry
I am boiling with anger,angry
I feel hatred,angry
This is terrible,angry
I am shouting inside,angry
I mad,angry
I fed up,angry
This irritates me,angry
I am furious right now,angry
I have anger issue,angry
I am angry at them,angry
I frustrated,angry
This is horrible,angry
I am annoyed badly,angry
I feel mad inside,angry
I am disappointed and angry,angry
I am irritated today,angry
This is nonsense,angry
I am furious inside,angry
I am angry about this issue,angry
I am enraged,angry
I feel rage growing,angry
This makes me lose control,angry
I am offended,angry
I am irritated a lot,angry
I am angry emotionally,angry
This made me angry,angry
I feel rage now,angry
I am very upset,angry
This angers me,angry
I am in anger,angry
I am going to the office,neutral
Today is Monday,neutral
I have a meeting,neutral
I am working on my project,neutral
The report is ready,neutral
I am attending class,neutral
This is an update,neutral
I will call later,neutral
The task is completed,neutral
I am checking emails,neutral
I am waiting,neutral
The system is running,neutral
I am reviewing files,neutral
This is normal,neutral
I am sitting quietly,neutral
I am at my desk,neutral
I am reading a document,neutral
I am traveling,neutral
The work is done,neutral
I am in the room,neutral
I am listening,neutral
I am typing,neutral
I am walking,neutral
I am waiting for instructions,neutral
The process is ongoing,neutral
I am checking status,neutral
I am working normally,neutral
This is routine,neutral
I am observing,neutral
Nothing special happening,neutral
I am standing,neutral
I am following instructions,neutral
I am doing tasks,neutral
I am analyzing,neutral
I am recording notes,neutral
I am updating files,neutral
I am reviewing data,neutral
I am monitoring,neutral
I am present,neutral
I am doing work,neutral
This is usual,neutral
I am idle,neutral
I am here,neutral
I am available,neutral
I am at work,neutral
I am online,neutral
I am waiting patiently,neutral
I  sad,sad
I am low,sad
I am unhappy,sad
This makes me sad,sad
I feel depressed,sad
I am disappointed,sad
I feel lonely,sad
I am emotionally tired,sad
I  like crying,sad
Nothing is going right,sad
I am heartbroken,sad
I hopeless,sad
I am upset,sad
I feel sorrow,sad
I am gloomy,sad
I empty,sad
I am distressed,sad
I feel down,sad
I am discouraged,sad
I am unhappy today,sad
I  miserable,sad
I am hurt,sad
I emotional pain,sad
I am feeling bad,sad
I am crying inside,sad
I broken,sad
I am  weak,sad
I am exhausted emotionally,sad
I am sad,sad
I am not okay,sad
I  regret about this,sad
I am grieving,sad
I am unhappy inside,sad
I am low today,sad
I want pain,sad
I am disappointed in myself,sad
I feel dull,sad
I am not happy,sad
I am sad emotionally,sad
I am unhappy emotionally,sad
I am depressed today,sad
I am sorrow,sad
I am downhearted,sad
I am unhappy now,sad
I am scared,fear
I feel afraid,fear
I am nervous,fear
I am anxious,fear
I am worried,fear
I am frightened,fear
This makes me scared,fear
I fear the future,fear
I feel panic,fear
I am terrified,fear
I feel tense,fear
I am uneasy,fear
I am scared inside,fear
I feel danger,fear
I am fearful,fear
I am anxious about this,fear
I feel threatened,fear
I am stressed,fear
I am shaking with fear,fear
I am nervous today,fear
I am afraid of failing,fear
I know i am unsafe,fear
I am scared emotionally,fear
I feel panic inside,fear
I am worried a lot,fear
I feel fear,fear
I am terrified inside,fear
I am anxious now,fear
I feel scared deeply,fear
I am frightened today,fear
I feel dread,fear
I am fearful today,fear
I am scared badly,fear
I feel anxious inside,fear
I am terrified emotionally,fear
I feel nervous inside,fear
I am worried now,fear
I feel fear growing,fear
I am uneasy now,fear
I am anxious emotionally,fear
I feel scared today,fear
I am fearful inside,fear
I am afraid now,fear
I feel panic today,fear
I am scared now,fear
I feel threatened now,fear
I am surprised,surprise
This is unexpected,surprise
I am shocked,surprise
I did not expect this,surprise
I am amazed,surprise
This is surprising,surprise
I am stunned,surprise
This caught me off guard,surprise
I am astonished,surprise
I feel surprised,surprise
This is unbelievable,surprise
I am pleasantly surprised,surprise
I am surprised today,surprise
I feel shock,surprise
This is amazing,surprise
I am surprised now,surprise
I did not see this coming,surprise
I am amazed by this,surprise
I am shocked today,surprise
I feel astonished,surprise
This surprised me,surprise
I am in surprise,surprise
I am surprised emotionally,surprise
I feel amazed,surprise
This was unexpected,surprise
I am surprised suddenly,surprise
I am shocked inside,surprise
I feel surprised inside,surprise
This is shocking,surprise
I am amazed today,surprise
I am surprised a lot,surprise
I feel astonished today,surprise
This is surprising news,surprise
I am shocked emotionally,surprise
I feel amazed inside,surprise
I am surprised right now,surprise
This outcome surprised me,surprise
I am astonished today,surprise
I feel shocked now,surprise
I am surprised deeply,surprise
This surprised everyone,surprise
I am amazed emotionally,surprise
I feel surprise,surprise
I am shocked now,surprise
I am surprised again,surprise
This made me surprised,surprise
I am astonished emotionally,surprise
